SKU,APORTE,FECHA_INICIO,FECHA_FIN,DEPTO,DPC/WEB,DESCRIPCION,P. TMP,P. AON,%APORTE,DEPARTAMENTO
13334125,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVASECA 17/8 KG C. BUBBLE+RA19VATS,5182,5032,0.028946353,LINEA BLANCA
13341464,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI MABE RMT41XMPNB0,1749,1599,0.085763293,LINEA BLANCA
13351020,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV SAMSUNG BLANCO 13KG WA1CX7CFP + MWO AMW83ESB,1677,1527,0.089445438,LINEA BLANCA
13351021,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV SAMSUNG BLANCO 13 KG WA1CX7RFP + MWO AMW83EWB,1572,1422,0.095419847,LINEA BLANCA
13351023,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,FRENCH DOOR SAMSUNG RF67DEPN1,4472,4322,0.033542039,LINEA BLANCA
13351024,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG MAX 3 R/C 500 L SILVER C/DISP RT50WNPP,2274,2124,0.065963061,LINEA BLANCA
13351025,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG MAX 4 FULL 570LT SILVER RT51MTPP1/SAM,2271,2121,0.066050198,LINEA BLANCA
13351820,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,HORNO BSH A GAS HBN6GI12,1799,1649,0.083379655,LINEA BLANCA
13370300,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF 320 LT /PLATEADA RT32YNPP1/XPE,1362,1262,0.073421439,LINEA BLANCA
13377293,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS DAEWOO FRS-X22 + FIOBAR FR-063RS,1799,1649,0.083379655,LINEA BLANCA
13377294,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS DAEWOO FRS-X23 + FRIOBAR FR-063RS,4599,4449,0.032615786,LINEA BLANCA
13406551,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV LG 13.5KG WF-T1364TP+MS-1146SQP,1699,1549,0.088287228,LINEA BLANCA
13407711,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS DAEWOO FRS-U22 (604LT)+ KOR-34MP,3499,3349,0.042869391,LINEA BLANCA
13413597,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COC INDURAMA MONTECARLO CR QUARZO,2399,2249,0.062526053,LINEA BLANCA
13414550,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV SAMS BIANCO 14.5KG WA-1DX9SFP SILVER,1657,1507,0.090525045,LINEA BLANCA
13414551,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV. SAMS. BIANCO 14.5KG. WA-1DX9PMFP,1551,1401,0.096711799,LINEA BLANCA
13418312,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA BOSCH EXPRESS II GRILL 76-5Q 1X INOX,2999,2849,0.050016672,LINEA BLANCA
